epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
1754,0.015633096918463707,0.169840008020401,0.007630936801433563,0.0022101150825619698,0.005792044568806887,,80729
,,,,,,3.90625e-06,80730
1755,0.016209930181503296,0.16988269984722137,0.007644863333553076,0.00220783450640738,0.00635723490267992,,80775
,,,,,,3.90625e-06,80776
1756,0.015278059989213943,0.16983456909656525,0.0076190270483493805,0.002209642669185996,0.005449390504509211,,80821
,,,,,,3.90625e-06,80822
1757,0.01627400889992714,0.16970869898796082,0.007390422746539116,0.002215749118477106,0.006667835172265768,,80867
,,,,,,3.90625e-06,80868
1758,0.01579640433192253,0.16969971358776093,0.007520896382629871,0.0022177454084157944,0.006057763937860727,,80913
,,,,,,3.90625e-06,80914
1759,0.015414898283779621,0.16973429918289185,0.007661017589271069,0.0022140201181173325,0.005539862439036369,,80959
,,,,,,3.90625e-06,80960
1760,0.016506610438227654,0.16971535980701447,0.0076829190365970135,0.002216074150055647,0.006607614923268557,,81005
,,,,,,3.90625e-06,81006
1761,0.01593707874417305,0.16963732242584229,0.007724022958427668,0.0021991049870848656,0.006013951729983091,,81051
,,,,,,3.90625e-06,81052
1762,0.015845606103539467,0.16965632140636444,0.007541021332144737,0.0021988539956510067,0.00610573124140501,,81097
,,,,,,3.90625e-06,81098
1763,0.016316663473844528,0.16969317197799683,0.007802145555615425,0.0022036388982087374,0.006310878321528435,,81143
,,,,,,3.90625e-06,81144
1764,0.01635376550257206,0.16971898078918457,0.007594765163958073,0.0022027548402547836,0.006556248292326927,,81189
,,,,,,3.90625e-06,81190
1765,0.015597010031342506,0.16957776248455048,0.0076133147813379765,0.0022073800209909678,0.005776315927505493,,81235
,,,,,,3.90625e-06,81236
1766,0.01666676253080368,0.16960635781288147,0.007489288225769997,0.0022082291543483734,0.00696924701333046,,81281
,,,,,,3.90625e-06,81282
1767,0.015374663285911083,0.1696254312992096,0.007631850894540548,0.0022090247366577387,0.005533789750188589,,81327
,,,,,,3.90625e-06,81328
